id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
18674;Rental unit in Barcelona · ★4.35 · 3 bedrooms · 6 beds · 2 baths;71615;Mireia And Maria;Eixample;la Sagrada Família;4.140.556;217.262;Entire home/apt;210;1;35;07/04/2023;0.29;28;18;8;HUTB-002062
23197;Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths;90417;Etain (Marnie);Sant Martí;el Besòs i el Maresme;41.412.906.646.728.500;2.220.633.029.937.740;Entire home/apt;250;4;72;29/05/2023;0.48;2;185;13;HUTB005057
41952;Rental unit in Barcelona · ★4.35 · 2 bedrooms · 4 beds · 2 baths;183340;Teresa;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.568;216.943;Entire home/apt;172;3;66;26/05/2023;0.49;5;269;22;HUTB-003549
32711;Rental unit in Barcelona · ★4.43 · 2 bedrooms · 3 beds · 1.5 baths;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.566;217.015;Entire home/apt;186;2;91;22/03/2023;0.63;3;256;24;HUTB-001722
46153;Rental unit in Barcelona · ★4.20 · 2 bedrooms · 3 beds · 1 bath;90417;Etain (Marnie);Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.956;217.759;Entire home/apt;63;31;5;31/07/2022;0.03;2;176;1;Exempt
49968;Rental unit in Barcelona · ★4.56 · 2 bedrooms · 7 beds · 1 bath;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;414.057;217.016;Entire home/apt;203;1;76;06/06/2023;0.53;3;257;23;HUTB-001723
71520;Rental unit in Barcelona · 3 bedrooms · 5 beds · 3.5 baths;366428;Ariadna;Gràcia;Vallcarca i els Penitents;4.141.841;213.307;Entire home/apt;250;5;1;23/06/2011;0.01;1;57;0;HUTB-007966
71553;Rental unit in Barcelona · ★4.20 · 1 bedroom · 1 bed · 1.5 baths;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4.139.705;217.469;Entire home/apt;186;3;78;06/05/2023;0.52;4;136;11;HUTB-002424
71736;Rental unit in Barcelona · ★4.0 · 4 bedrooms · 5 beds · 1.5 baths;368317;Nacharosa;Ciutat Vella;el Raval;4.138.174;216.663;Entire home/apt;68;28;11;14/07/2016;0.07;7;344;0;
34981;Rental unit in Barcelona · ★4.52 · 4 bedrooms · 6 beds · 3 baths;73163;Andres;Ciutat Vella;el Barri Gòtic;4.137.978;217.623;Entire home/apt;460;5;205;07/06/2023;1.33;1;0;30;HUTB-150671
68547;Rental unit in Barcelona · ★4.74 · 1 bedroom · 2 beds · 2 baths;340570;Atún;Ciutat Vella;el Barri Gòtic;413.806;217.796;Private room;200;31;93;10/08/2021;0.63;2;289;0;
36763;Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 shared bath;158596;Ester;Ciutat Vella;la Barceloneta;4.138.043;219.094;Private room;30;31;105;26/05/2023;0.74;1;159;17;
330957;Rental unit in Barcelona · ★4.75 · 3 bedrooms · 4 beds · 1 bath;893805;Phil And Fiona;Eixample;la Dreta de l'Eixample;4.139.782.414.629.110;2.170.576.755.958.840;Entire home/apt;200;2;543;04/06/2023;3.96;13;265;69;HUTB-010749
72436;Serviced apartment in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 bath;375625;Xavier;Sant Martí;el Poblenou;4.139.909;220.733;Entire home/apt;287;1;696;05/06/2023;6.49;6;197;155;HUTB-000173
72793;Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath;368317;Nacharosa;Ciutat Vella;el Raval;4.138.104;216.565;Entire home/apt;60;28;2;27/08/2014;0.02;7;344;0;
40983;Condo in Barcelona · ★4.37 · 1 bedroom · 2 beds · 1 bath;177617;Joaquin;Eixample;la Dreta de l'Eixample;4.139.631;216.832;Entire home/apt;132;2;271;25/05/2023;1.86;6;116;43;HUTB-001282
72794;Rental unit in Barcelona · ★4.33 · 1 bedroom · 1 bed · 1.5 baths;368317;Nacharosa;Ciutat Vella;el Raval;4.138.214;216.568;Entire home/apt;65;28;8;23/08/2014;0.06;7;344;0;
73683;Rental unit in Barcelona · ★4.58 · 4 bedrooms · 14 beds · 2 baths;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.554;217.017;Entire home/apt;371;2;177;23/05/2023;1.21;3;250;13;HUTB-001723
331026;Rental unit in Barcelona · ★4.71 · 1 bedroom · 1 bed · 1 shared bath;440881;Lee;Eixample;Sant Antoni;4.137.793;215.978;Private room;32;3;234;06/06/2023;1.72;1;244;36;
333190;Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths;1697782;Jóse;Eixample;el Fort Pienc;4.140.131;218.191;Private room;70;32;236;31/01/2023;1.76;2;33;8;
508212;Rental unit in Barcelona · ★4.87 · 2 bedrooms · 2 beds · 1 bath;2504689;Carolina;Eixample;l'Antiga Esquerra de l'Eixample;4.139.161;215.782;Entire home/apt;174;5;113;30/05/2023;0.85;2;28;38;HUTB-003831
75003;Rental unit in Barcelona · ★4.16 · 2 bedrooms · 3 beds · 1 bath;396363;Alcambarcelona;Eixample;la Sagrada Família;4.140.399;217.802;Entire home/apt;240;2;33;05/06/2023;0.22;116;188;9;HUTB-001363
510923;Rental unit in Barcelona · ★4.54 · 3 bedrooms · 3 beds · 2 baths;2517389;Sara;Sant Andreu;el Congrés i els Indians;4.142.257;218.047;Entire home/apt;145;7;26;19/05/2023;0.21;2;91;3;HUTB-008605
335861;Rental unit in Barcelona · ★4.12 · 2 bedrooms · 3 beds · 1 bath;1221038;Mar;Sant Martí;el Poblenou;4.140.349;220.414;Entire home/apt;185;1;100;05/06/2023;0.75;3;289;9;HUTB-007075
511739;Rental unit in Barcelona · ★4.50 · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.376;217.292;Entire home/apt;234;1;7;03/09/2019;0.05;141;365;0;
75411;Rental unit in Barcelona · ★4.43 · 3 bedrooms · 4 beds · 1 bath;400154;Mireia;Sant Martí;el Clot;4.140.682;218.649;Entire home/apt;172;3;74;24/05/2023;0.53;9;45;24;HUTB-000083
512666;Rental unit in Barcelona · ★4.68 · 2 bedrooms · 6 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.779;216.729;Entire home/apt;276;6;67;07/04/2023;0.54;6;231;2;HUTB-003872
337755;Rental unit in Barcelona · ★4.73 · 1 bedroom · 2 beds · 1 bath;1716315;Marc;Sant Martí;la Vila Olímpica del Poblenou;4.139.253.234.863.280;219.325.590.133.667;Entire home/apt;217;1;45;19/05/2023;0.41;12;52;19;HUTB-002887
512737;Rental unit in Barcelona · ★4.84 · 2 bedrooms · 3 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.701;216.663;Entire home/apt;233;6;32;28/05/2023;0.26;6;181;9;HUTB-003876
513825;Rental unit in Barcelona · ★4.66 · 3 bedrooms · 4 beds · 2 baths;1093718;Alexey;Eixample;el Fort Pienc;4.140.012;21.756;Entire home/apt;214;2;77;26/05/2023;0.58;13;205;16;HUTB-006895
342641;Guest suite in St Cugat del Vallès · ★4.73 · 1 bedroom · 2 beds · 1 bath;1738696;Estela;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;4.142.882;210.123;Entire home/apt;150;2;107;07/06/2023;0.91;1;131;14;HUTB-007301
80004;Rental unit in Barcelona · ★4.62 · 3 bedrooms · 3 beds · 1 bath;431839;Xavier;Sants-Montjuïc;el Poble Sec;4.137.371;216.706;Entire home/apt;108;5;163;28/05/2023;1.11;1;105;22;HUTB-004026
517407;Rental unit in Barcelona · ★4.69 · 4 bedrooms · 6 beds · 2 baths;1093718;Alexey;Eixample;el Fort Pienc;414.003;217.502;Entire home/apt;280;2;141;25/05/2023;1.06;13;237;34;HUTB-006817
89756;Rental unit in Barcelona · ★4.68 · 3 bedrooms · 8 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.861;216.737;Entire home/apt;386;6;23;27/05/2023;0.18;6;238;4;HUTB-013579
519494;Townhouse in Barcelona · ★4.83 · 2 bedrooms · 4 beds · 1.5 baths;2556699;Ernest;Sant Martí;la Vila Olímpica del Poblenou;4.139.095;21.964;Entire home/apt;340;2;31;14/05/2023;0.23;1;141;20;HUTB-000706
343622;Rental unit in Barcelona · ★4.41 · 1 bedroom · 6 beds · 1 bath;1743695;Michel;Sants-Montjuïc;Sants;4.137.681;214.211;Entire home/apt;115;3;102;12/10/2019;1.01;1;192;0;HUTB-441276
519631;Rental unit in Barcelona · ★4.79 · 4 bedrooms · 5 beds · 2 baths;893805;Phil And Fiona;Eixample;la Dreta de l'Eixample;4.139.506;217.308;Entire home/apt;437;2;526;05/06/2023;4.34;13;302;79;HUTB-006291
343861;Rental unit in Barcelona · ★4.45 · 1 bedroom · 1 bed · 1 bath;1744516;Silvia & Luís;Eixample;la Dreta de l'Eixample;4.139.993;216.536;Entire home/apt;214;3;34;08/05/2023;0.35;29;221;7;HUTB-007447
343864;Rental unit in Barcelona · ★4.59 · 3 bedrooms · 5 beds · 2 baths;1744516;Silvia & Luís;Gràcia;la Vila de Gràcia;4.140.735;215.885;Entire home/apt;244;3;27;24/05/2023;0.25;29;196;11;HUTB-009898
95719;Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1 shared bath;509260;Dalila;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.496;217.982;Private room;70;31;259;06/10/2022;1.75;2;365;15;
520389;Rental unit in Barcelona · ★4.57 · 3 bedrooms · 4 beds · 2 baths;1432835;Angel;Eixample;l'Antiga Esquerra de l'Eixample;413.888;215.898;Entire home/apt;340;3;287;25/05/2023;2.17;38;82;41;HUTB-003825
97529;Rental unit in Barcelona · ★4.74 · 1 bedroom · 1 bed · 1 bath;497450;Francesc;Gràcia;el Camp d'en Grassot i Gràcia Nova;41.408.790.588.378.900;21.660.659.313.201.900;Entire home/apt;47;120;67;31/10/2022;0.48;1;39;2;
343866;Rental unit in Barcelona · ★4.41 · 3 bedrooms · 4 beds · 2 baths;1744516;Silvia & Luís;Gràcia;la Vila de Gràcia;4.140.399;215.565;Entire home/apt;226;3;77;07/05/2023;0.62;29;193;34;HUTB-008572
522705;Rental unit in Barcelona · ★4.77 · 2 bedrooms · 2 beds · 1 bath;2570705;Pilar;Eixample;la Dreta de l'Eixample;4.139.646;217.132;Entire home/apt;169;4;160;21/05/2023;1.35;1;224;26;HUTB-010903
343972;Rental unit in Barcelona · ★4.67 · 1 bedroom · 2 beds · 1 bath;1744964;Patricia;Sants-Montjuïc;la Font de la Guatlla;4.137.184;214.799;Private room;30;2;7;06/07/2015;0.05;1;0;0;
345129;Rental unit in Barcelona · ★4.58 · 1 bedroom · 1 private bath;1238225;Lucia;Ciutat Vella;el Barri Gòtic;4.138.512;217.129;Private room;65;31;32;15/10/2013;0.24;1;83;0;
107437;Home in Barcelona · ★4.78 · 4 bedrooms · 6 beds · 2 baths;556626;Cristina;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;4.142.864;209.159;Entire home/apt;288;1;96;30/05/2023;0.66;2;150;25;HUTB-009025
522987;Rental unit in Barcelona · ★4.72 · 1 bedroom · 1 bed · 1.5 shared baths;1697782;Jóse;Eixample;el Fort Pienc;4.140.162;218.287;Private room;100;31;286;01/06/2023;2.15;2;58;34;
526016;Rental unit in Barcelona · ★4.63 · 1 bedroom · 1 bed · 1 shared bath;2585816;Oscar;Eixample;Sant Antoni;4.137.806;216.012;Private room;350;300;150;15/03/2020;2.08;2;0;0;
110041;Rental unit in Barcelona · ★4.18 · 1 bedroom · 2 beds · 1 bath;396363;Alcambarcelona;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.271;216.646;Entire home/apt;228;2;38;08/06/2023;0.29;116;218;7;HUTB-003671
351395;Condo in Barcelona · ★4.58 · 3 bedrooms · 4 beds · 2 baths;1435464;Jaume;Eixample;el Fort Pienc;4.139.271;217.974;Entire home/apt;239;1;78;23/05/2023;0.64;15;150;21;HUTB-009578
527183;Rental unit in Barcelona · ★4.40 · 1 bedroom · 1 bed · 1 shared bath;2590800;Rosa;Sants-Montjuïc;Sants;4.137.415;213.315;Private room;20;31;5;04/08/2022;0.05;2;129;1;
352772;Rental unit in Barcelona · ★4.73 · 2 bedrooms · 5 beds · 1 bath;1786501;Fidel;Eixample;la Nova Esquerra de l'Eixample;4.138.184;215.119;Entire home/apt;133;2;189;04/06/2023;1.67;1;235;53;HUTB-005271
528979;Rental unit in Barcelona · ★4.73 · 1 bedroom · 1 private bath;2598629;Nextor;Gràcia;la Vila de Gràcia;4.139.807;215.483;Private room;40;31;145;09/10/2022;1.26;3;341;14;
357576;Rental unit in Barcelona · ★4.89 · 3 bedrooms · 4 beds · 1 bath;1809535;Silvia;Gràcia;la Vila de Gràcia;4.140.508;215.491;Entire home/apt;235;1;353;07/06/2023;2.65;2;247;78;HUTB-001176
112538;Rental unit in Barcelona · ★4.36 · 3 bedrooms · 5 beds · 2 baths;567180;Sandra;Eixample;la Sagrada Família;4.140.653;21.746;Entire home/apt;438;2;111;06/05/2023;0.76;19;114;14;HUTB-000333
531195;Rental unit in Barcelona · ★4.92 · 4 bedrooms · 9 beds · 2 baths;2608724;Stay Together Barcelona Apartments;Eixample;Sant Antoni;4.137.535;216.727;Entire home/apt;498;3;525;07/06/2023;3.93;4;206;214;HUTB-004986
117010;Rental unit in Barcelona · ★4.53 · 3 bedrooms · 5 beds · 2 baths;567180;Sandra;Eixample;la Sagrada Família;4.140.647;217.457;Entire home/apt;412;2;44;20/05/2023;0.31;19;103;3;HUTB000331
359841;Rental unit in Barcelona · ★4.69 · 2 bedrooms · 2 beds · 1 bath;1820272;Rosa;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4.140.502;220.802;Entire home/apt;135;2;424;22/05/2023;3.17;5;60;67;HUTB-003912
531697;Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath;2613353;Sergio;Ciutat Vella;el Barri Gòtic;4.138.051;218.199;Entire home/apt;65;32;2;15/10/2013;0.02;1;333;0;
363601;Rental unit in Barcelona · ★4.20 · 2 bedrooms · 1 bed · 1 bath;1837053;Ayal;Ciutat Vella;el Raval;4.137.961;217.306;Entire home/apt;60;32;26;23/08/2018;0.20;1;116;0;
118228;Rental unit in Barcelona · ★4.58 · 3 bedrooms · 5 beds · 2.5 baths;567180;Sandra;Eixample;la Sagrada Família;4.140.653;21.746;Entire home/apt;396;3;48;05/06/2023;0.34;19;108;24;HUTB-000328
534410;Loft in Barcelona · ★4.72 · 1 bedroom · 1 bed · 1 bath;2626568;Caroline;Eixample;el Fort Pienc;4.139.877;217.755;Entire home/apt;256;5;173;04/06/2023;1.44;1;295;22;HUTB-012024
128463;Rental unit in Barcelona · ★4.87 · 1 bedroom · 1 bed · 1 bath;635253;Sebastian;Sants-Montjuïc;Sants;4.137.155;213.664;Entire home/apt;61;3;378;05/06/2023;2.64;1;257;54;HUTB-012603
364030;Rental unit in Barcelona · ★4.66 · 2 bedrooms · 2 beds · 1 bath;1839136;Mires;Eixample;Sant Antoni;4.137.555;216.254;Entire home/apt;195;2;358;27/05/2023;2.62;1;255;47;HUTB-001094
534550;Rental unit in Barcelona · ★4.96 · 3 bedrooms · 8 beds · 2 baths;2608724;Stay Together Barcelona Apartments;Eixample;Sant Antoni;4.137.535;216.727;Entire home/apt;415;3;398;03/06/2023;3.04;4;180;200;HUTB-002241
365911;Rental unit in Barcelona · ★4.70 · 3 bedrooms · 3 beds · 1.5 baths;1260560;Ralph;Eixample;la Nova Esquerra de l'Eixample;4.137.911;215.356;Entire home/apt;316;1;123;25/05/2023;0.93;4;37;26;HUTB-004112
135513;Rental unit in Barcelona · ★4.64 · 2 bedrooms · 3 beds · 1.5 baths;664196;Teresa;Sant Martí;el Poblenou;4.139.787;220.429;Entire home/apt;90;90;131;23/09/2021;0.92;2;314;0;
536440;Condo in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 private bath;2635405;Montserrat;Horta-Guinardó;el Baix Guinardó;4.140.987;217.203;Private room;28;31;46;28/02/2023;0.38;1;0;3;
136670;Rental unit in Barcelona · ★4.59 · 1 bedroom · 1 bed · 1 shared bath;610674;Maria;Les Corts;Pedralbes;4.138.832;212.201;Private room;36;20;129;31/10/2022;0.90;3;271;1;
370665;Rental unit in Barcelona · 3 bedrooms · 4 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.545;218.117;Entire home/apt;240;32;2;20/03/2023;0.17;141;364;2;
537176;Rental unit in Barcelona · ★4.86 · 2 bedrooms · 4 beds · 1 bath;2638282;Fernando;Eixample;Sant Antoni;4.138.075;215.804;Entire home/apt;160;3;466;06/06/2023;3.53;1;203;57;HUTB-004893
377161;Rental unit in Barcelona · ★4.64 · 2 bedrooms · 3 beds · 1 bath;1444707;Jesus;Gràcia;el Coll;4.141.892;214.871;Entire home/apt;146;3;535;31/05/2023;3.95;2;144;60;HUTB - 004404
379868;Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1 shared bath;1906952;Khris;Eixample;la Sagrada Família;414.055;217.124;Private room;76;4;354;05/06/2023;2.64;2;12;35;
138055;Rental unit in Barcelona · ★4.48 · 3 bedrooms · 6 beds · 2 baths;567180;Sandra;Eixample;la Sagrada Família;4.140.653;21.746;Entire home/apt;390;2;112;16/05/2023;0.78;19;109;13;HUTB000329
543342;Rental unit in Barcelona · ★4.56 · 2 bedrooms · 2 beds · 1 bath;177617;Joaquin;Eixample;l'Antiga Esquerra de l'Eixample;4.138.324;215.969;Entire home/apt;153;2;340;05/06/2023;2.55;6;129;48;HUTB-005353
548052;Rental unit in Barcelona · ★3.75 · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.263;217.072;Entire home/apt;235;1;4;16/09/2019;0.07;141;365;0;
147275;Rental unit in Barcelona · ★4.23 · 1 bedroom · 1 bed · 1 shared bath;711907;Antuan;Horta-Guinardó;el Guinardó;4.142.337;21.749;Private room;18;31;128;04/03/2023;1.30;1;312;9;
548085;Rental unit in Barcelona · 1 bedroom · 3 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.213;217.083;Entire home/apt;234;1;2;01/06/2015;0.02;141;365;0;
154437;Rental unit in Barcelona · ★4.86 · 1 bedroom · 1 bed · 1 shared bath;474355;Annais;Eixample;l'Antiga Esquerra de l'Eixample;4.139.202;215.101;Private room;32;31;95;13/03/2023;0.66;1;11;7;
383894;Rental unit in Barcelona · ★4.22 · 2 bedrooms · 4 beds · 2 baths;1751133;The Punset Family;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.853;217.604;Entire home/apt;61;32;46;22/11/2015;0.36;2;161;0;
384063;Rental unit in Barcelona · ★3.57 · 3 bedrooms · 4 beds · 2 baths;1447144;Acomodis Apartments;Eixample;la Dreta de l'Eixample;4.139.639;217.641;Entire home/apt;277;1;9;18/08/2019;0.07;141;365;0;HUTB-02-2012-0109
384155;Rental unit in Barcelona · ★4.45 · 2 bedrooms · 3 beds · 1.5 baths;1751133;The Punset Family;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.416;218.257;Entire home/apt;81;32;73;13/11/2022;0.55;2;253;2;
551378;Rental unit in Barcelona · ★4.33 · 4 bedrooms · 8 beds · 2 baths;2689815;Ricardo;Eixample;l'Antiga Esquerra de l'Eixample;4.139.285;215.657;Entire home/apt;483;2;224;30/04/2023;1.69;1;20;13;HUTB-002109
554955;Rental unit in Barcelona · 4 bedrooms · 4 beds · 1 bath;368317;Nacharosa;Ciutat Vella;el Raval;4.138.192;21.669;Entire home/apt;68;28;1;21/08/2013;0.01;7;313;0;
162091;Rental unit in Barcelona · ★4.51 · 3 bedrooms · 6 beds · 2 baths;567180;Sandra;Eixample;la Sagrada Família;414.064;217.449;Entire home/apt;415;2;59;05/06/2023;0.43;19;118;10;HUTB000326
163536;Rental unit in Barcelona · ★4.68 · 5 bedrooms · 7 beds · 2 baths;713364;Horacio;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.651;218.271;Entire home/apt;224;150;27;09/09/2022;0.20;1;344;1;
558366;Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 1 shared bath;2745490;Bori;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.361;218.552;Private room;47;32;51;26/10/2022;0.42;2;132;1;
171646;Rental unit in Barcelona · ★4.80 · 2 bedrooms · 2 beds · 1 bath;400154;Mireia;Sant Martí;el Clot;4.140.671;218.592;Entire home/apt;152;3;75;07/06/2023;0.61;9;68;25;HUTB-004663
171816;Rental unit in Barcelona · ★4.67 · 2 bedrooms · 3 beds · 1 bath;400154;Mireia;Sant Martí;el Clot;4.140.681;218.553;Entire home/apt;152;3;40;05/06/2023;0.32;9;95;25;HUTB-004664
384464;Rental unit in Barcelona · ★4.98 · 1 bedroom · 1 bed · 1 bath;674212;Juanmi;Eixample;la Dreta de l'Eixample;4.138.992;216.974;Entire home/apt;180;2;181;22/05/2023;1.34;5;251;56;HUTB-011183
385049;Rental unit in Barcelona · ★4.65 · 3 bedrooms · 6 beds · 2 baths;3775349;Caterina;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.203;218.362;Entire home/apt;543;2;263;04/05/2023;1.93;45;136;19;HUTB-000828
558886;Rental unit in Barcelona · ★4.56 · 3 bedrooms · 4 beds · 2 baths;2747795;Stephanie;Eixample;la Nova Esquerra de l'Eixample;4.138.201;214.828;Entire home/apt;130;4;184;13/05/2023;1.49;1;249;28;HUTB-002020
393717;Rental unit in Barcelona · ★4.43 · 2 bedrooms · 4 beds · 1 bath;1968590;Manel;Ciutat Vella;el Raval;413.795;216.568;Entire home/apt;133;3;381;05/06/2023;2.85;1;213;51;HUTB-002975
174382;Rental unit in Barcelona · ★4.44 · 3 bedrooms · 6 beds · 1.5 baths;567180;Sandra;Eixample;la Sagrada Família;4.140.653;217.455;Entire home/apt;445;2;18;02/01/2023;0.19;19;125;11;HUTB000327
177502;Rental unit in Barcelona · ★4.86 · 1 bedroom · 2 beds · 1 shared bath;848995;Pedro;Eixample;la Dreta de l'Eixample;4.139.196;216.856;Private room;57;6;7;30/05/2023;0.88;1;7;7;
559801;Rental unit in Barcelona · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths;2751629;Andrea;Sant Andreu;Navas;414.177;218.694;Private room;20;180;33;27/02/2020;0.27;1;0;0;
188267;Rental unit in Barcelona · ★4.70 · 3 bedrooms · 4 beds · 2 baths;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4.139.258;217.692;Entire home/apt;363;3;107;03/06/2023;0.75;4;187;17;hutb-005119
399772;Rental unit in Barcelona · ★4.84 · 2 bedrooms · 2 beds · 1 bath;1995385;Ana;Eixample;la Nova Esquerra de l'Eixample;4.138.268;215.044;Entire home/apt;177;2;104;05/06/2023;0.77;3;99;51;HUTB-001948
562020;Rental unit in Barcelona · ★2.50 · 1 bedroom · 3 beds · 1 bath;368317;Nacharosa;Ciutat Vella;el Raval;4.138.141;216.374;Entire home/apt;163;28;3;23/04/2016;0.03;7;345;0;
402369;Rental unit in Barcelona · ★4.29 · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;el Barri Gòtic;4.138.035;217.821;Entire home/apt;90;32;11;17/08/2015;0.08;141;357;0;
190348;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;919480;Elisa;Les Corts;Pedralbes;4.138.893;212.443;Private room;46;7;1;09/06/2016;0.01;1;0;0;
563971;Rental unit in Barcelona · ★4.76 · 1 bedroom · 1 bed · 1 bath;2773231;Arama;Eixample;Sant Antoni;4.137.641;215.895;Entire home/apt;108;1;688;07/06/2023;5.30;1;196;106;HUTB-001954
196021;Rental unit in Barcelona · ★4.94 · 4 bedrooms · 5 beds · 4 baths;953719;Julia;Eixample;l'Antiga Esquerra de l'Eixample;4.138.842;216.108;Entire home/apt;533;4;362;28/05/2023;2.54;2;220;57;HUTB-506707
196196;Rental unit in Barcelona · ★4.46 · 4 bedrooms · 7 beds · 2 baths;567180;Sandra;Eixample;la Sagrada Família;414.066;217.459;Entire home/apt;403;2;118;30/05/2023;0.83;19;105;19;HUTB-000325
197267;Rental unit in Barcelona · ★4.52 · 1 bedroom · 2 beds · 1 bath;632830;M Angeles, Federico;Gràcia;la Vila de Gràcia;4.140.661;215.115;Entire home/apt;35;31;355;05/04/2023;2.54;3;59;6;HUTB01295238
408599;Rental unit in Barcelona · ★4.65 · 3 bedrooms · 3 beds · 2 baths;2034854;Roger;Sants-Montjuïc;el Poble Sec;4.137.374;215.852;Entire home/apt;229;1;492;25/05/2023;3.62;1;275;95;HUTB-006818
564809;Rental unit in Barcelona · ★4.84 · 1 bedroom · 1 bed · 1 shared bath;2598629;Nextor;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4.139.748;215.357;Private room;65;31;100;24/09/2022;0.80;3;362;12;
412649;Rental unit in Barcelona · ★4.45 · 2 bedrooms · 2 beds · 1 bath;542867;Gabriela;Sants-Montjuïc;la Font de la Guatlla;4.137.279;214.834;Entire home/apt;85;3;227;25/05/2023;1.68;2;204;20;HUTB-007048
198958;Rental unit in Barcelona · ★4.70 · 4 bedrooms · 6 beds · 2 baths;971768;Laura;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4.140.805;221.487;Entire home/apt;426;2;95;26/05/2023;0.70;9;106;19;HUTB-000926
567962;Rental unit in Barcelona · ★4.89 · 1 bedroom · 1 bed · 1 bath;2794626;Jordi;Sants-Montjuïc;la Bordeta;4.136.886;213.279;Entire home/apt;59;32;37;14/05/2023;0.28;1;206;5;
206122;Rental unit in Barcelona · ★4.70 · 2 bedrooms · 2 beds · 1 bath;1013855;Alejandro;Gràcia;la Vila de Gràcia;4.139.877;215.887;Entire home/apt;144;4;222;05/06/2023;1.58;1;33;45;HUTB-004315
417239;Rental unit in Barcelona · ★4.73 · 2 bedrooms · 2 beds · 1.5 baths;2074943;Kris;Gràcia;la Vila de Gràcia;4.140.413;215.692;Entire home/apt;140;29;106;30/05/2023;0.87;1;244;8;
568129;Rental unit in Barcelona · ★4.88 · 1 bedroom · 1 bed · 2 shared baths;2795488;Zulma;Eixample;la Nova Esquerra de l'Eixample;4.138.192;215.563;Private room;60;4;104;08/06/2023;0.82;2;154;28;
424137;Serviced apartment in Barcelona · ★4.70 · 2 bedrooms · 3 beds · 2 baths;2108468;Pau;Ciutat Vella;el Barri Gòtic;4.137.973;217.458;Entire home/apt;350;1;139;04/06/2023;1.11;8;239;43;HUTB-000945
206167;Rental unit in Barcelona · ★4.87 · 1 bedroom · 1 bed · 1 bath;1014050;Minerva;Sants-Montjuïc;el Poble Sec;413.724;21.648;Entire home/apt;157;3;126;07/06/2023;0.89;1;98;20;HUTB-009804
568185;Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 2.5 shared baths;2795488;Zulma;Eixample;la Nova Esquerra de l'Eixample;413.819;215.419;Private room;60;4;83;06/06/2023;0.63;2;185;19;
209673;Rental unit in Barcelona · ★4.78 · 2 bedrooms · 3 beds · 1 bath;1033366;Elena;Gràcia;la Vila de Gràcia;41.398;21.553;Entire home/apt;105;2;325;28/05/2023;2.56;1;235;44;HUTB-010932
