id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
29582545;Rental unit in Barcelona · ★4.44 · 3 bedrooms · 5 beds · 1 bath;6099660;ClassBedroom;Eixample;l'Antiga Esquerra de l'Eixample;4.139.434;215.339;Entire home/apt;206;1;73;24/04/2023;1.34;30;133;28;HUTB-003834
30310506;Rental unit in Barcelona · ★4.86 · 1 bedroom · 1 bed · 1 bath;224618386;EnjoyBcn;Ciutat Vella;la Barceloneta;4.137.575;219.082;Entire home/apt;52;32;7;31/05/2023;0.13;18;303;1;
30311230;Boat in Sant Adrià de Besòs · ★4.32 · 2 bedrooms · 1 bath;227618545;Sito;Sant Martí;el Besòs i el Maresme;4.140.925;222.771;Entire home/apt;66;2;95;02/06/2023;1.80;1;142;38;Exempt
29973291;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;34027820;Oriana;Ciutat Vella;el Raval;4.138.319;216.665;Private room;50;1;0;;;1;0;0;
29980781;Rental unit in Barcelona · ★4.63 · 1 bedroom · 1 bed · 1 bath;222058736;Sara;Gràcia;la Vila de Gràcia;4.140.222;215.126;Entire home/apt;77;28;27;28/05/2023;0.50;3;313;8;Exempt
29587827;Rental unit in Barcelona · ★3.0 · 6 bedrooms · 15 beds · 6 baths;1447144;Acomodis Apartments;Sants-Montjuïc;el Poble Sec;4.137.359;216.969;Entire home/apt;921;1;3;08/03/2020;0.07;141;280;0;HUTB-002592
29991200;Condo in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 private bath;218891792;Akela;Ciutat Vella;el Barri Gòtic;4.138.189;217.597;Private room;38;31;164;03/05/2023;2.96;2;202;28;
29590846;Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths;104195584;Daniel;Ciutat Vella;el Raval;413.784;216.751;Private room;40;1;105;06/09/2020;1.87;1;0;0;
30316648;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;2819397;Leslie Maria Ella And Arthur;Eixample;la Dreta de l'Eixample;4.139.768;216.559;Entire home/apt;280;28;2;22/06/2019;0.04;43;157;0;HUTB-001080
30002381;Rental unit in Barcelona · ★4.21 · 3 bedrooms · 4 beds · 2 baths;10380563;Tendency Apartments;Eixample;la Dreta de l'Eixample;4.139.296;217.423;Entire home/apt;437;1;82;05/06/2023;1.53;38;177;30;HUTB-004090
29605047;Rental unit in Barcelona · ★4.30 · 2 bedrooms · 2 beds · 1 bath;130223809;Daiga;Ciutat Vella;el Raval;4.137.968;21.674;Entire home/apt;66;32;10;19/05/2023;0.18;52;286;4;
30007618;Home in Barcelona · ★4.95 · 1 bedroom · 1 bed · 1 shared bath;225562886;Aurea;Sant Martí;Sant Martí de Provençals;4.141.732;219.592;Private room;30;32;74;14/11/2022;1.37;1;160;7;
29612692;Rental unit in Barcelona · ★4.64 · 1 bedroom · 1 bed · 1 shared bath;30895054;Mar;Eixample;la Dreta de l'Eixample;4.139.111;217.829;Private room;49;7;22;31/10/2022;0.46;2;139;6;
30335359;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;227683945;Osmundo;Eixample;la Nova Esquerra de l'Eixample;4.138.403;215.311;Private room;50;4;0;;;1;0;0;
30339374;Rental unit in Barcelona · 2 bedrooms · 4 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;el Barri Gòtic;4.137.904;217.905;Entire home/apt;321;1;0;;;141;365;0;HUTB-000076
30008376;Rental unit in Barcelona · ★4.27 · 2 bedrooms · 2 beds · 1 bath;1391607;Aline I Andrea;Sants-Montjuïc;el Poble Sec;4.137.459;216.339;Entire home/apt;183;3;126;28/05/2023;2.32;118;33;48;HUTB-007279
30364518;Hostel in Barcelona · 2 bedrooms · 3 beds · 2 shared baths;227980127;Rameez;Sants-Montjuïc;la Bordeta;413.681;21.322;Private room;40;1;1;25/12/2018;0.02;1;0;0;Exempt
29626828;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;20113829;Ana;Eixample;Sant Antoni;4.137.643;216.165;Private room;43;7;0;;;1;0;0;
